#TAG,NAME IN REPO (or git url),DESCRIPTION (a short description about the program)
,sxiv,The simple X image viewer
,zathura,A document viewer
,zathura-pdf-mupdf,Support for PDF and similar documents
,mpv,A terminal media player
,ffmpeg,A video converter
,picom,Compositor for X11
,xwallpaper,A wallpaper setting utility for X
,lf,A terminal file manager written in Go
,fff,The fucking fast file-manager written in bash
,chromium,Web browser from Google
,dunst,A lightweight notification-daemon
,libnotify-bin, Allows notifications to occur
,mpd,A music player daemon
,ncmpcpp,An ncurses music player daemon client
,mpc,Command-line client for mpd
,newsboat,An RSS/Atom feed reader for terminals
,transmission,A torrent client for the terminal
,stig,A curses interface for transmission-daemon
,pipewire,A program to enable audio
,wireplumber,Session manager implementation for pipewire
,sof-firmware,Sound open firmware for audio
,pulsemixer,CLI and curses mixer for pulseaudio/pipewire
,bluez,Daemon for bluetooth
,libspa-bluetooth,To enable bluetooth compatibility with pipewire
,yt-dlp,Allows you to download media from YouTube
,xorg,You need this for the X server graphical interface
,xinit,X init program (so you can start your X session)
,xdg-user-dirs,Helps manage user directories
,xdg-utils,Tools to assist applications with various desktop integration tasks
,gnome-keyring,Stores secrets/passwords/keys/certs for applications
,dejavu-fonts-ttf,DejaVu family of TrueType fonts
,font-libertine-ttf,Libertine TTF Fonts - Libre multilingual font family
,noto-fonts-ttf,Google Noto TTF Fonts
,noto-fonts-emoji,Google Noto Emoji Fonts
,maim,Utility that takes a screenshot of your desktop
,xcape,Modifies keys to act as other keys when pressed/released
,unzip,Unzip zipped files
,lynx,A browser for the terminal
,xclip,Basically the clipboard
,xdotool,Command-line X11 automation tool
,bat,Concatenate files with syntax highlighting
,polkit,An authorization manager/toolkit
,simple-mtpfs,To mount Android devices
,slock,The simple X screen locker
,fzf,A command-line fuzzy finder
,bc,A terminal calculator
,ntp,A network protocol reference implementation
,fontconfig,Library for configuring and customizing font access
,fontconfig-devel,Fontconfig development files
,freetype,Font rendering engine and library API
,freetype-devel,Freetype development files
,xz,XZ compression utilities
,7zip,File archiver with a high compression ratio
,zsh,The zoomer shell
,zsh-autosuggestions,Tab completion for zsh
,zsh-syntax-highlighting,Colored commands for the terminal
,groff,GNU troff text-formatting system
,pkg-config,System for managing library compile/link flags
,ueberzug,Command line util which allows drawing images on terminals
,ffmpegthumbnailer,Lightweight video thumbnailer
,poppler,PDF rendering library (PDF previews)
,elogind,Standalone logind fork
,dbus-x11,Message bus system - X11 support
,glibc,GNU C library
,glibc-devel,GNU C library development files
,libXinerama-devel,X PanoramiX extension library development files
,cparser,C99 parser and libfirm frontend
,libX11,Base X libraries from Xorg
,libX11-devel,libX11 development files
,libXft,Library for configuring and customizing font access
,libXft-devel,libXft development files
,ncurses,System V curses emulation library
,ncurses-devel,ncurses development files
